class	path	sha256	access_in_research_freeze	phase2_role
PHASE1_DECISION	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/PHASE1_DECISION.json	a9b01e817d9e84180dc4804811dd2d0e33c245925a11bc8d5996363c42e7bc94	READ	Binding RESTRICT_TCGA_ONLY node decision
PHASE1_HARMONIZATION_SPEC	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/FROZEN_HARMONIZATION_SPEC.json	c4252fd1d17a07212852a894631afd7a8df3b331ccf9aed314869b0e5512a362	READ	Frozen clinical semantics and gates
PHASE1_HARMONIZATION_MAP	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/HARMONIZATION_MAP.tsv	c255355de4b6c4b366a626d7e79b26f474d55ead67387d1fde519743ac7e316b	READ	Immutable token map
PHASE1_LINKAGE	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/LINKAGE_LEDGER.tsv	c6087dc8e685b305ccd3ff9d1da02846ff8a306018cc1fb0820cf3825fc8e823	READ	Sole patient-level clinical and linkage bytes
PHASE1_MISSINGNESS	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/MISSINGNESS.tsv	02e08cb20fe60056b6a23b4bd9837d07ba80a6c729f1fcf366e28d50d97dc69e	READ	Sealed missingness audit
PHASE1_RAW_COUNTS	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/RAW_CATEGORY_COUNTS.tsv	09fe226376379a333715c3dcfce4d1282e882a368e92c3eb3f6a9ece9abbec80	READ	Sealed clinical distributions
PHASE1_FIELD_DICTIONARY	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/SOURCE_FIELD_DICTIONARY.tsv	5599d54f8578bca87976a5ebcce5c94df37c1337f478c05e12cf421f0aaf9959	READ	Clinical field semantics
PHASE1_PROPOSED_COUNTS	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/SUBTYPE_BY_PROPOSED_CATEGORY.tsv	91726649b4e910d5f08318304f052a044fba786e581d0efca0fee39b4737e0dc	READ	Clinical-by-subtype support
PHASE1_RAW_SUBTYPE_COUNTS	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/SUBTYPE_BY_RAW_CATEGORY.tsv	54703638e1dad819802d4545bf598e061fa64994cd406922ef10abe15c9110e3	READ	Raw clinical-by-subtype audit
PHASE1_DIAGNOSTICS	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/DESIGN_DIAGNOSTICS.tsv	4affeecd2795778f8d016530c3df1bb19a17e0a84ecf19e89f2fcf216e635fd2	READ	Clinical-only diagnostics; CPTAC placeholders excluded under reviewer M1
PHASE1_REPORT	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/PHASE1_FEASIBILITY_REPORT.md	5c7c3fa50e7fcd0f35eadbafbe62b35a5f8dd94c7470a79daf008405051b892e	READ	Clinical-only feasibility report
PHASE1_ATTESTATION	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/OUTCOME_FIREWALL_ATTESTATION.txt	1393934215808dcc14466bb250e2832f1b9a50588fe7f8d6c3774118fbf01d60	READ	Producer outcome-blind attestation
PHASE1_CRITIC	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_critic/VALIDATION_REPORT_PHASE1.md	1b83bae3d188db5e844c1786f3d5773c0e2c183d8a050d5c0f575b8c6eeadbcf	READ	Binding SURVIVES verdict and MINOR M1
PHASE1_SOURCE_AUDIT	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_critic/SOURCE_AND_SEMANTIC_AUDIT.md	1f19908c6e7a96b460be5962d1a21cd2743cb567186717d1247fe699503ede03	READ	Independent source and semantics audit
PHASE1_INPUT_AUDIT	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_critic/INPUT_SOURCE_HASH_AUDIT.json	040483724321b8846c0447b988f4482f3f1aad410dc42b6e0f9556b16eff353b	READ	Independent input hash audit
PHASE1_FIREWALL_AUDIT	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_critic/FIREWALL_OPEN_TRACE_AUDIT.json	324e570bcb7a33a68c56b887f653fd7c55734276dd5a6076677edc948d5051a5	READ	Independent zero-outcome-access audit
