action	path_or_url	sha256	purpose	firewall_decision	outcome_values_seen
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources_task029gate/uec_cptac_gdc_clinattr.json	96794b79b83a663a9caf5dc51dce3d71a29983040a2b4125f972a100c7627628	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources/pdc_clin_PDC000125.json	61d05e1298312fbdf98e23b027b93e9b0310612baf1fc9fb6fe088913bc08291	hash/schema/linkage preflight or canonical clinical audit	DENY_UNUSED_SCOPE_MISMATCH	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources/pdc_clin_PDC000439.json	6ff6418b4f201d7f2db3b1c69617d3435a01b4877cf37a06f4c56a4fb7ba4012	hash/schema/linkage preflight or canonical clinical audit	DENY_UNUSED_SCOPE_MISMATCH	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources/pdc_discovery_biospec.json	c98f51f1ec9916252a210c40fae93adfe2ae42e998decdac5adbf82c8bd3b74e	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources/pdc_confirmatory_biospec.json	bc159c1d0500cce635b7631a069c814a9f3c802f947dc3c9bf828573e0b7aae9	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources_task029gate/gdc_case_mapping.json	4e5fd1736d2b5a17f6cd66929953a6893f4858a0a480480faa26ccafd2e798c8	hash/schema/linkage preflight or canonical clinical audit	DENY_UNUSED_SCOPE_MISMATCH	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources_task029gate/gdc_rna_primary_by_case.json	87514a428a9cf4810621ff7c46f5c6696f78bda2e3fecf66e7fe9920cbe9fbda	hash/schema/linkage preflight or canonical clinical audit	DENY_UNUSED_SCOPE_MISMATCH	NO
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_tcga_pan_can_atlas_2018/clinical-data?clinicalDataType=SAMPLE&attributeId=GRADE&pageSize=100000&pageNumber=0&projection=SUMMARY	4af93f837dda71a50b6e5010fb63404b851f29ed4b671f611351c1d6af3c3edc	tcga_cbio_grade round_1; exact frozen fields only	ALLOW_AND_LOCKED	NO
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_tcga_pan_can_atlas_2018/clinical-data?clinicalDataType=SAMPLE&attributeId=GRADE&pageSize=100000&pageNumber=0&projection=SUMMARY	4af93f837dda71a50b6e5010fb63404b851f29ed4b671f611351c1d6af3c3edc	tcga_cbio_grade round_2; exact frozen fields only	ALLOW_AND_LOCKED	NO
CLINICAL_ONLY_AUDIT_AFTER_LOCK	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/inputs/tcga_cbio_grade.json	4af93f837dda71a50b6e5010fb63404b851f29ed4b671f611351c1d6af3c3edc	raw clinical counts, linkage, harmonization, design feasibility	ALLOW_LOCKED	NO_MOLECULAR;AGGREGATE_CLINICAL_ONLY
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_tcga_pan_can_atlas_2018/clinical-data?clinicalDataType=PATIENT&attributeId=ICD_O_3_HISTOLOGY&pageSize=100000&pageNumber=0&projection=SUMMARY	fce9c7b47ef10a85876cc92c8b1eee330246db91a4c20b0403f9b9ce0f4a89b9	tcga_cbio_icdo_histology round_1; exact frozen fields only	ALLOW_AND_LOCKED	NO
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_tcga_pan_can_atlas_2018/clinical-data?clinicalDataType=PATIENT&attributeId=ICD_O_3_HISTOLOGY&pageSize=100000&pageNumber=0&projection=SUMMARY	fce9c7b47ef10a85876cc92c8b1eee330246db91a4c20b0403f9b9ce0f4a89b9	tcga_cbio_icdo_histology round_2; exact frozen fields only	ALLOW_AND_LOCKED	NO
CLINICAL_ONLY_AUDIT_AFTER_LOCK	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/inputs/tcga_cbio_icdo_histology.json	fce9c7b47ef10a85876cc92c8b1eee330246db91a4c20b0403f9b9ce0f4a89b9	raw clinical counts, linkage, harmonization, design feasibility	ALLOW_LOCKED	NO_MOLECULAR;AGGREGATE_CLINICAL_ONLY
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_cptac_2020/clinical-data?clinicalDataType=PATIENT&attributeId=HISTOLOGIC_GRADE_FIGO&pageSize=100000&pageNumber=0&projection=SUMMARY	287b4a02df4f41c3ff64727215bf56a003b6d048e7d20e06af1e359d9d5075d9	cptac_discovery_cbio_grade round_1; exact frozen fields only	ALLOW_AND_LOCKED	NO
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_cptac_2020/clinical-data?clinicalDataType=PATIENT&attributeId=HISTOLOGIC_GRADE_FIGO&pageSize=100000&pageNumber=0&projection=SUMMARY	287b4a02df4f41c3ff64727215bf56a003b6d048e7d20e06af1e359d9d5075d9	cptac_discovery_cbio_grade round_2; exact frozen fields only	ALLOW_AND_LOCKED	NO
CLINICAL_ONLY_AUDIT_AFTER_LOCK	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/inputs/cptac_discovery_grade.json	287b4a02df4f41c3ff64727215bf56a003b6d048e7d20e06af1e359d9d5075d9	raw clinical counts, linkage, harmonization, design feasibility	ALLOW_LOCKED	NO_MOLECULAR;AGGREGATE_CLINICAL_ONLY
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_cptac_2020/clinical-data?clinicalDataType=PATIENT&attributeId=HISTOLOGIC_TYPE&pageSize=100000&pageNumber=0&projection=SUMMARY	4133634004e840605a9e1fc9c3b4a1cafeeb8dd182fcf4a5dc9f5cfef7e17393	cptac_discovery_cbio_histology round_1; exact frozen fields only	ALLOW_AND_LOCKED	NO
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://www.cbioportal.org/api/studies/ucec_cptac_2020/clinical-data?clinicalDataType=PATIENT&attributeId=HISTOLOGIC_TYPE&pageSize=100000&pageNumber=0&projection=SUMMARY	4133634004e840605a9e1fc9c3b4a1cafeeb8dd182fcf4a5dc9f5cfef7e17393	cptac_discovery_cbio_histology round_2; exact frozen fields only	ALLOW_AND_LOCKED	NO
CLINICAL_ONLY_AUDIT_AFTER_LOCK	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/inputs/cptac_discovery_histology.json	4133634004e840605a9e1fc9c3b4a1cafeeb8dd182fcf4a5dc9f5cfef7e17393	raw clinical counts, linkage, harmonization, design feasibility	ALLOW_LOCKED	NO_MOLECULAR;AGGREGATE_CLINICAL_ONLY
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://pdc.cancer.gov/graphql	8143943f3084a93ee1e49a62f892c8ac02b16efd74ee7a5e42df8109157e442e	pdc_PDC000125 round_1; exact frozen fields only	ALLOW_AND_LOCKED	NO
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://pdc.cancer.gov/graphql	8143943f3084a93ee1e49a62f892c8ac02b16efd74ee7a5e42df8109157e442e	pdc_PDC000125 round_2; exact frozen fields only	ALLOW_AND_LOCKED	NO
CLINICAL_ONLY_AUDIT_AFTER_LOCK	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/inputs/pdc_PDC000125_grade_histology.json	8143943f3084a93ee1e49a62f892c8ac02b16efd74ee7a5e42df8109157e442e	raw clinical counts, linkage, harmonization, design feasibility	ALLOW_LOCKED	NO_MOLECULAR;AGGREGATE_CLINICAL_ONLY
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://pdc.cancer.gov/graphql	de0dc78e2705070d8b21d0fb3db8c2a777a246ef49398036872fc0c6abebe61d	pdc_PDC000439 round_1; exact frozen fields only	ALLOW_AND_LOCKED	NO
REMOTE_FIELD_RESTRICTED_ACQUISITION	https://pdc.cancer.gov/graphql	de0dc78e2705070d8b21d0fb3db8c2a777a246ef49398036872fc0c6abebe61d	pdc_PDC000439 round_2; exact frozen fields only	ALLOW_AND_LOCKED	NO
CLINICAL_ONLY_AUDIT_AFTER_LOCK	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/inputs/pdc_PDC000439_grade_histology.json	de0dc78e2705070d8b21d0fb3db8c2a777a246ef49398036872fc0c6abebe61d	raw clinical counts, linkage, harmonization, design feasibility	ALLOW_LOCKED	NO_MOLECULAR;AGGREGATE_CLINICAL_ONLY
STATUS_HASH_ONLY	data/external/original-workspace/revgate-task-a-perclass	STATUS_TEXT_DIGEST_IN_PRESERVATION_STATUS	preservation verification only	ALLOW_METADATA_ONLY	NO
STATUS_HASH_ONLY	data/external/original-workspace/revgate	STATUS_TEXT_DIGEST_IN_PRESERVATION_STATUS	original dirty worktree preservation only	ALLOW_METADATA_ONLY	NO
STATUS_HASH_ONLY	data/external/original-workspace/task030-*	DIRECTORY_METADATA_ONLY	prior TASK-030 preservation only	ALLOW_METADATA_ONLY	NO
