# orphan_target_ledger -- M3 PRIMARY admitted-target membership / orphan ledger v2
#   (SEAL CANDIDATE, TASK-028 Freeze B; Vladimir DEC-M3-DUAL-EDGE target/orphan requirement).
# ONE ROW PER ADMITTED TARGET. Scope: the 583 non-CORE admitted CollecTRI-curated
#   signed targets (targets only). A CORE_TF that ALSO appears as a target and loses ALL
#   incoming edges is recorded below in a clearly-separated NOTE block: it remains a MEMBER
#   as a REGULATOR (TF) and is NOT counted among the non-CORE orphan targets.
# Derived deterministically from sealed_v2/B1/m3_primary_edge_ledger.tsv (v2 corrected policy).
#   NO tumour value read. NO scoring. SEED 20260713.
#
# COUNTS ARE UNIQUE-TARGET counts, kept DISTINCT from EDGE counts:
#   n_admitted_incoming_edges         = admitted edge ROWS into this target (incl. any source dup).
#   n_primary_included_incoming_edges = admitted incoming edges with primary_inclusion=Y.
#   n_excluded_incoming_edges         = admitted incoming edges with primary_inclusion=N.
#   status = 'orphan' iff n_primary_included_incoming_edges == 0; else 'primary-scored'.
#   ORPHAN targets receive NO zero / arbitrary / raw-flag contribution. They simply do NOT
#   enter primary signed scoring; they are recorded here BY NAME only. Membership UNCHANGED.
#
# Columns: target	ensembl_id	is_core_tf	n_admitted_incoming_edges	n_primary_included_incoming_edges	n_excluded_incoming_edges	status	reason
target	ensembl_id	is_core_tf	n_admitted_incoming_edges	n_primary_included_incoming_edges	n_excluded_incoming_edges	status	reason
EYA1	ENSG00000104313	N	1	1	0	primary-scored	none
EYA2	ENSG00000064655	N	1	1	0	primary-scored	none
F2	ENSG00000180210	N	1	1	0	primary-scored	none
F2R	ENSG00000181104	N	1	1	0	primary-scored	none
FABP3	ENSG00000121769	N	1	1	0	primary-scored	none
FASLG	ENSG00000117560	N	1	1	0	primary-scored	none
FASN	ENSG00000169710	N	1	1	0	primary-scored	none
FBXO11	ENSG00000138081	N	1	1	0	primary-scored	none
FCER1A	ENSG00000179639	N	1	1	0	primary-scored	none
FCER1G	ENSG00000158869	N	1	1	0	primary-scored	none
FERD3L	ENSG00000146618	N	1	1	0	primary-scored	none
FGF10	ENSG00000070193	N	2	2	0	primary-scored	none
FGF2	ENSG00000138685	N	4	4	0	primary-scored	none
FGF4	ENSG00000075388	N	2	2	0	primary-scored	none
FGF8	ENSG00000107831	N	3	3	0	primary-scored	none
FGF9	ENSG00000102678	N	1	1	0	primary-scored	none
FGL1	ENSG00000104760	N	1	1	0	primary-scored	none
FLT3	ENSG00000122025	N	1	1	0	primary-scored	none
FOXA1	ENSG00000129514	N	1	1	0	primary-scored	none
FOXC1	ENSG00000054598	N	1	1	0	primary-scored	none
FOXC2	ENSG00000176692	N	1	1	0	primary-scored	none
FOXE1	ENSG00000178919	N	1	1	0	primary-scored	none
FOXF1	ENSG00000103241	N	2	2	0	primary-scored	none
FOXN1	ENSG00000109101	N	1	1	0	primary-scored	none
FOXO1	ENSG00000150907	N	1	0	1	orphan	no consensus-signed primary edge
FOXP3	ENSG00000049768	N	1	1	0	primary-scored	none
FSHB	ENSG00000131808	N	1	1	0	primary-scored	none
FTO	ENSG00000140718	N	1	1	0	primary-scored	none
FUT7	ENSG00000180549	N	1	1	0	primary-scored	none
G6PC2	ENSG00000152254	N	2	2	0	primary-scored	none
GALNT10	ENSG00000164574	N	1	1	0	primary-scored	none
GAS7	ENSG00000007237	N	1	1	0	primary-scored	none
GATA4	ENSG00000136574	N	1	1	0	primary-scored	none
GBX2	ENSG00000168505	N	2	2	0	primary-scored	none
GC	ENSG00000145321	N	1	1	0	primary-scored	none
GCG	ENSG00000115263	N	3	3	0	primary-scored	none
GCK	ENSG00000106633	N	1	1	0	primary-scored	none
GCM2	ENSG00000124827	N	1	0	1	orphan	no consensus-signed primary edge
GCNT4	ENSG00000176928	N	1	1	0	primary-scored	none
GDNF	ENSG00000168621	N	2	2	0	primary-scored	none
GFER	ENSG00000127554	N	1	1	0	primary-scored	none
GFI1	ENSG00000162676	N	1	1	0	primary-scored	none
GFI1B	ENSG00000165702	N	2	1	1	primary-scored	none
GH1	ENSG00000259384	N	1	1	0	primary-scored	none
GHRHR	ENSG00000106128	N	2	2	0	primary-scored	none
GJB6	ENSG00000121742	N	1	1	0	primary-scored	none
GLB1	ENSG00000170266	N	2	2	0	primary-scored	none
GLI2	ENSG00000074047	N	2	1	1	primary-scored	none
GLS2	ENSG00000135423	N	1	1	0	primary-scored	none
GNA11	ENSG00000088256	N	1	1	0	primary-scored	none
GNRHR	ENSG00000109163	N	3	2	1	primary-scored	none
GPNMB	ENSG00000136235	N	1	1	0	primary-scored	none
GPR146	ENSG00000164849	N	1	1	0	primary-scored	none
GPR162	ENSG00000250510	N	1	1	0	primary-scored	none
GREB1	ENSG00000196208	N	1	1	0	primary-scored	none
GRM7	ENSG00000196277	N	1	1	0	primary-scored	none
GRP	ENSG00000134443	N	1	1	0	primary-scored	none
GSC	ENSG00000133937	N	1	1	0	primary-scored	none
H1-5	ENSG00000184357	N	1	1	0	primary-scored	none
HAND2	ENSG00000164107	N	1	0	1	orphan	no consensus-signed primary edge
HAPLN1	ENSG00000145681	N	1	1	0	primary-scored	none
HBE1	ENSG00000213931	N	1	1	0	primary-scored	none
HBEGF	ENSG00000113070	N	1	1	0	primary-scored	none
HCRT	ENSG00000161610	N	1	1	0	primary-scored	none
HCRTR2	ENSG00000137252	N	1	1	0	primary-scored	none
HELT	ENSG00000187821	N	1	1	0	primary-scored	none
HESX1	ENSG00000163666	N	1	1	0	primary-scored	none
HEY1	ENSG00000164683	N	1	1	0	primary-scored	none
HHEX	ENSG00000152804	N	4	4	0	primary-scored	none
HMGCS2	ENSG00000134240	N	1	1	0	primary-scored	none
HNF1A	ENSG00000135100	N	1	1	0	primary-scored	none
HNF4A	ENSG00000101076	N	2	2	0	primary-scored	none
HOXB3	ENSG00000120093	N	1	1	0	primary-scored	none
HOXB4	ENSG00000182742	N	2	2	0	primary-scored	none
HP	ENSG00000257017	N	1	1	0	primary-scored	none
HPGD	ENSG00000164120	N	1	1	0	primary-scored	none
HPGDS	ENSG00000163106	N	1	1	0	primary-scored	none
HSD17B1	ENSG00000108786	N	2	2	0	primary-scored	none
HSPB2	ENSG00000170276	N	1	1	0	primary-scored	none
HTR5A	ENSG00000157219	N	1	1	0	primary-scored	none
HTRA2	ENSG00000115317	N	1	1	0	primary-scored	none
IAPP	ENSG00000121351	N	1	1	0	primary-scored	none
IBSP	ENSG00000029559	N	5	4	1	primary-scored	none
ICAM4	ENSG00000105371	N	1	1	0	primary-scored	none
ICOS	ENSG00000163600	N	1	1	0	primary-scored	none
IFNG	ENSG00000111537	N	2	2	0	primary-scored	none
IGF1	ENSG00000017427	N	3	3	0	primary-scored	none
IGFBP1	ENSG00000146678	N	2	2	0	primary-scored	none
IHH	ENSG00000163501	N	1	1	0	primary-scored	none
IL10	ENSG00000136634	N	2	2	0	primary-scored	none
IL11	ENSG00000095752	N	1	1	0	primary-scored	none
IL12RB1	ENSG00000096996	N	1	1	0	primary-scored	none
IL12RB2	ENSG00000081985	N	1	1	0	primary-scored	none
IL13	ENSG00000169194	N	2	2	0	primary-scored	none
IL15	ENSG00000164136	N	1	1	0	primary-scored	none
IL18R1	ENSG00000115604	N	1	1	0	primary-scored	none
IL1B	ENSG00000125538	N	1	1	0	primary-scored	none
IL1RL1	ENSG00000115602	N	2	2	0	primary-scored	none
IL24	ENSG00000162892	N	1	1	0	primary-scored	none
IL2RB	ENSG00000100385	N	1	1	0	primary-scored	none
IL3	ENSG00000164399	N	1	1	0	primary-scored	none
IL4	ENSG00000113520	N	2	2	0	primary-scored	none
IL5	ENSG00000113525	N	4	4	0	primary-scored	none
IL6	ENSG00000136244	N	1	1	0	primary-scored	none
IL7R	ENSG00000168685	N	1	1	0	primary-scored	none
INHA	ENSG00000123999	N	1	1	0	primary-scored	none
INS	ENSG00000254647	N	4	4	0	primary-scored	none
INSR	ENSG00000171105	N	1	1	0	primary-scored	none
IRF8	ENSG00000140968	N	1	1	0	primary-scored	none
IRS2	ENSG00000185950	N	1	1	0	primary-scored	none
ITGA10	ENSG00000143127	N	1	1	0	primary-scored	none
ITGA4	ENSG00000115232	N	1	1	0	primary-scored	none
ITGAX	ENSG00000140678	N	1	1	0	primary-scored	none
ITGB3	ENSG00000259207	N	1	1	0	primary-scored	none
KAT2B	ENSG00000114166	N	1	1	0	primary-scored	none
KCNJ11	ENSG00000187486	N	1	1	0	primary-scored	none
KDR	ENSG00000128052	N	3	3	0	primary-scored	none
KIRREL2	ENSG00000126259	N	1	1	0	primary-scored	none
KIT	ENSG00000157404	N	2	2	0	primary-scored	none
KLF1	ENSG00000105610	N	1	1	0	primary-scored	none
KLF9	ENSG00000119138	N	1	1	0	primary-scored	none
KLK1	ENSG00000167748	N	1	1	0	primary-scored	none
KLK3	ENSG00000142515	N	1	1	0	primary-scored	none
KLRC1	ENSG00000134545	N	1	1	0	primary-scored	none
L1CAM	ENSG00000198910	N	2	2	0	primary-scored	none
LAMA1	ENSG00000101680	N	1	1	0	primary-scored	none
LAMA3	ENSG00000053747	N	1	1	0	primary-scored	none
LCN8	ENSG00000204001	N	2	2	0	primary-scored	none
LEF1	ENSG00000138795	N	2	2	0	primary-scored	none
LEFTY2	ENSG00000143768	N	2	2	0	primary-scored	none
LHB	ENSG00000104826	N	1	1	0	primary-scored	none
LMO1	ENSG00000166407	N	1	1	0	primary-scored	none
LMX1A	ENSG00000162761	N	1	1	0	primary-scored	none
LMX1B	ENSG00000136944	N	1	1	0	primary-scored	none
LORICRIN	ENSG00000203782	N	1	1	0	primary-scored	none
LRMDA	ENSG00000148655	N	1	1	0	primary-scored	none
LRP5	ENSG00000162337	N	1	1	0	primary-scored	none
LRRC61	ENSG00000127399	N	1	1	0	primary-scored	none
LXN	ENSG00000079257	N	1	1	0	primary-scored	none
LYL1	ENSG00000104903	N	3	3	0	primary-scored	none
MAB21L1	ENSG00000180660	N	1	1	0	primary-scored	none
MACC1	ENSG00000183742	N	1	1	0	primary-scored	none
MATN1	ENSG00000162510	N	2	2	0	primary-scored	none
MBP	ENSG00000197971	N	2	2	0	primary-scored	none
MDM2	ENSG00000135679	N	1	1	0	primary-scored	none
MECOM	ENSG00000085276	N	1	1	0	primary-scored	none
MEF2C	ENSG00000081189	N	2	2	0	primary-scored	none
MEN1	ENSG00000133895	N	1	1	0	primary-scored	none
MIA	ENSG00000261857	N	1	1	0	primary-scored	none
MICA	ENSG00000204520	N	1	1	0	primary-scored	none
MICB	ENSG00000204516	N	1	1	0	primary-scored	none
MITF	ENSG00000187098	N	2	2	0	primary-scored	none
MLXIPL	ENSG00000009950	N	1	1	0	primary-scored	none
MMP1	ENSG00000196611	N	1	1	0	primary-scored	none
MMP7	ENSG00000137673	N	1	1	0	primary-scored	none
MMP9	ENSG00000100985	N	1	1	0	primary-scored	none
MS4A2	ENSG00000149534	N	1	1	0	primary-scored	none
MSI2	ENSG00000153944	N	1	1	0	primary-scored	none
MUC1	ENSG00000185499	N	1	1	0	primary-scored	none
MUC2	ENSG00000198788	N	2	2	0	primary-scored	none
MUC5B	ENSG00000117983	N	1	1	0	primary-scored	none
MYB	ENSG00000118513	N	2	1	1	primary-scored	none
MYCN	ENSG00000134323	N	4	4	0	primary-scored	none
MYH3	ENSG00000109063	N	1	1	0	primary-scored	none
MYLK	ENSG00000065534	N	1	1	0	primary-scored	none
MYOCD	ENSG00000141052	N	1	1	0	primary-scored	none
MYOD1	ENSG00000129152	N	4	4	0	primary-scored	none
MYOG	ENSG00000122180	N	1	1	0	primary-scored	none
MYRIP	ENSG00000170011	N	1	1	0	primary-scored	none
NAIP	ENSG00000249437	N	1	1	0	primary-scored	none
NCF2	ENSG00000116701	N	1	1	0	primary-scored	none
NCOA3	ENSG00000124151	N	1	1	0	primary-scored	none
NES	ENSG00000132688	N	3	3	0	primary-scored	none
NETO1	ENSG00000166342	N	1	1	0	primary-scored	none
NEUROD1	ENSG00000162992	N	1	0	1	orphan	no consensus-signed primary edge
NEUROG2	ENSG00000178403	N	1	1	0	primary-scored	none
NEUROG3	ENSG00000122859	N	2	2	0	primary-scored	none
NFE2	ENSG00000123405	N	1	1	0	primary-scored	none
NFKB1	ENSG00000109320	N	2	0	2	orphan	no consensus-signed primary edge
NFKBIB	ENSG00000104825	N	1	1	0	primary-scored	none
NFYA	ENSG00000001167	N	1	1	0	primary-scored	none
NKX2-1	ENSG00000136352	N	2	2	0	primary-scored	none
NKX2-2	ENSG00000125820	N	1	1	0	primary-scored	none
NKX3-1	ENSG00000167034	N	2	2	0	primary-scored	none
NKX3-2	ENSG00000109705	N	1	0	1	orphan	no consensus-signed primary edge
NOS2	ENSG00000007171	N	1	1	0	primary-scored	none
NOS3	ENSG00000164867	N	1	1	0	primary-scored	none
NOTCH1	ENSG00000148400	N	2	1	1	primary-scored	none
NOTCH3	ENSG00000074181	N	1	1	0	primary-scored	none
NPHS1	ENSG00000161270	N	2	2	0	primary-scored	none
NPPA	ENSG00000175206	N	2	2	0	primary-scored	none
NPR1	ENSG00000169418	N	1	1	0	primary-scored	none
NPY	ENSG00000122585	N	1	1	0	primary-scored	none
NR0B1	ENSG00000169297	N	1	1	0	primary-scored	none
NR0B2	ENSG00000131910	N	1	1	0	primary-scored	none
NR4A2	ENSG00000153234	N	1	1	0	primary-scored	none
NR5A1	ENSG00000136931	N	2	1	1	primary-scored	none
NR5A2	ENSG00000116833	N	1	1	0	primary-scored	none
NRCAM	ENSG00000091129	N	1	1	0	primary-scored	none
NTF3	ENSG00000185652	N	1	1	0	primary-scored	none
NTRK2	ENSG00000148053	N	1	1	0	primary-scored	none
NUP210	ENSG00000132182	N	1	1	0	primary-scored	none
NWD1	ENSG00000188039	N	1	1	0	primary-scored	none
ONECUT1	ENSG00000169856	N	1	0	1	orphan	no consensus-signed primary edge
OPRM1	ENSG00000112038	N	1	1	0	primary-scored	none
PACSIN1	ENSG00000124507	N	1	1	0	primary-scored	none
PAEP	ENSG00000122133	N	1	1	0	primary-scored	none
PAX3	ENSG00000135903	N	1	1	0	primary-scored	none
PAX5	ENSG00000196092	N	1	1	0	primary-scored	none
PAX6	ENSG00000007372	N	2	1	1	primary-scored	none
PC	ENSG00000173599	N	1	1	0	primary-scored	none
PCK1	ENSG00000124253	N	1	1	0	primary-scored	none
PDE3A	ENSG00000172572	N	1	1	0	primary-scored	none
PDE7B	ENSG00000171408	N	1	1	0	primary-scored	none
PDE9A	ENSG00000160191	N	1	1	0	primary-scored	none
PDGFA	ENSG00000197461	N	1	1	0	primary-scored	none
PDGFRL	ENSG00000104213	N	1	1	0	primary-scored	none
PDX1	ENSG00000139515	N	2	1	1	primary-scored	none
PER1	ENSG00000179094	N	1	1	0	primary-scored	none
